2 3.813582
2 3.905287
2 5.414708
2 4.663631
2 4.732622
2 4.850912
3 3.747939
3 3.961004
3 5.404122
3 4.693719
3 4.846409
3 5.003976
4 3.826398
4 4.020220
4 5.385438
4 4.730999
4 4.859289
4 4.995263
5 3.953036
5 3.999159
5 5.267342
5 4.563763
5 4.864814
5 5.045615
6 3.868819
6 4.105636
6 5.462458
6 4.548844
6 4.849246
6 5.009328
7 3.865353
7 4.221644
7 5.406395
7 4.692314
7 4.845497
7 5.420678
8 3.821704
8 4.062681
8 5.291151
8 4.618615
8 4.886622
8 5.030547
9 3.873018
9 4.415415
9 5.521379
9 4.677046
9 4.914479
9 5.002318
10 3.946327
10 4.086776
10 5.358520
10 4.825193
10 4.871325
10 4.933649
11 3.821044
11 4.138844
11 5.254035
11 4.750759
11 5.694694
11 4.861778
12 3.810879
12 4.300587
12 5.519638
12 4.696051
12 4.898478
12 5.027875
13 3.996974
13 4.310487
13 5.871835
13 4.623637
13 5.047016
13 5.038097
14 3.840187
14 4.260326
14 5.594972
14 4.885041
14 6.149036
14 4.747111
15 3.890271
15 4.188779
15 5.666451
15 4.628267
15 6.083482
15 4.986549
16 3.815683
16 4.122528
16 5.712835
16 4.644179
16 5.639712
16 4.868522
17 3.938102
17 4.434449
17 5.501397
17 4.665085
17 5.824537
17 4.937478
18 3.823027
18 4.239202
18 5.474334
18 4.656136
18 6.123269
18 4.741017
19 3.819466
19 4.139433
19 5.289246
19 4.879248
19 5.804494
19 4.730592
20 3.945914
20 4.074050
20 5.337743
20 4.701235
20 5.833367
20 4.792977
21 3.781760
21 4.342059
21 5.672384
21 4.765122
21 5.917244
21 4.776732
22 3.930821
22 4.179396
22 5.669696
22 4.722119
22 6.053275
22 4.435360
23 3.834159
23 4.210964
23 5.624320
23 4.656762
23 6.101896
23 4.842344
24 3.777980
24 4.104968
24 5.831202
24 4.574498
24 5.923667
24 4.898575
25 3.814227
25 4.163849
25 5.891970
25 4.776294
25 5.761402
25 4.869833
26 6.745346
26 4.387013
26 5.877801
26 4.797046
26 6.211446
26 4.406125
27 4.049347
27 4.119321
27 5.327854
27 4.729855
27 5.957902
27 4.648900
28 3.831506
28 4.229327
28 5.662340
28 4.688663
28 5.931064
28 3.998876
29 3.851679
29 4.058509
29 5.457629
29 4.786452
29 6.055935
29 4.597607
30 3.756973
30 4.114726
30 5.382170
30 4.795926
30 6.263893
30 4.802738
